county_name,longitude,latitude
ATLANTIC,39.5333,-74.6869
BURLINGTON,39.8558, -74.6869
CAMDEN,39.8592,-75.0144
BERGEN,40.9263,-74.0770
CAPE MAY,39.1059,-74.8273
CUMBERLAND,39.2587,-75.0611
ESSEX,40.7947,-74.2649
HUNTERDON,40.5670,-74.9209
MERCER,40.3029,-74.7337
NOT SPECIFIED,,
GLOUCESTER,39.7103,-75.1078
MIDDLESEX,40.4111,-74.3587
HUDSON,40.7453,-74.0535
MONMOUTH,40.2589,-74.1240
OCEAN,39.9653,-74.3118
MORRIS,40.8336,-74.5463
PASSAIC,41.1232,-74.3587
SALEM,39.5849,-75.3879
SOMERSET,40.5292,-74.6400
SUSSEX,41.1288,-74.6869
UNION,40.6595,-74.2844
