data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2022,48875320,160891555,1,2022-08-10,1,N,23C,62,59,M,20,20,N,,,59,
2022,48875322,160891557,1,2022-08-11,1,N,23C,53,50,M,10,40,N,,,50,
2022,48875323,160891559,1,2022-08-12,1,N,13A,34,31,M,10,10,N,,,31,
2022,48875324,160891560,1,2022-08-13,1,N,35A,57,54,M,20,20,N,,,54,
2022,49359351,162620860,1,2022-08-15,1,N,13B,42,39,M,10,10,R,,,39,
2022,48875325,160891568,1,2022-08-18,1,N,35A,63,60,M,20,20,N,,,60,
2022,49359352,162620862,1,2022-08-19,1,N,35A,21,18,F,20,20,N,,,18,
2022,49359353,162620863,1,2022-08-19,1,N,35B,43,40,F,10,20,R,,,40,
2022,48875327,160891572,1,2022-08-20,3,N,35A,43,40,M,20,20,R,,,40,
2022,48875328,160891574,1,2022-08-20,1,N,13B,42,39,F,10,20,N,,,39,
2022,48875329,160891577,1,2022-08-22,1,N,35A,38,35,F,10,20,R,,,35,
2022,48875330,160891580,1,2022-08-24,1,N,23C,39,36,M,10,20,N,,,36,
2022,49359354,162620865,1,2022-08-26,1,N,35B,41,38,M,10,20,N,,,38,
2022,48875331,160891582,1,2022-08-26,1,N,35A,39,36,M,10,20,N,,,36,
2022,49359355,162620866,1,2022-08-26,1,N,35B,51,48,M,10,10,N,,,48,
2022,51245518,169344093,1,2022-08-27,1,N,35A,44,41,M,10,20,R,,,41,
2022,48875332,160891584,1,2022-08-27,1,N,35A,47,44,M,10,20,N,,,44,
2022,48875333,160891586,1,2022-08-27,1,N,13B,27,24,F,20,20,N,,,24,
2022,51245519,169344094,1,2022-08-29,1,N,35A,30,27,M,10,20,N,,,27,
2022,48875334,160891589,1,2022-08-29,1,N,23C,63,60,M,10,20,N,,,60,
