data_year,offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,age_range_low_num,age_range_high_num
2022,182684558,160891554,0,104,NS,X,99,50,,
2022,182684559,160891555,1,62,59,M,20,20,59,
2022,182684561,160891557,1,53,50,M,10,40,50,
2022,182684562,160891558,0,104,NS,X,99,50,,
2022,182684563,160891559,1,34,31,M,10,10,31,
2022,182684564,160891560,1,57,54,M,20,20,54,
2022,184638493,162620859,1,64,61,F,20,20,61,
2022,182684565,160891561,0,104,NS,X,99,50,,
2022,182684566,160891562,0,104,NS,X,99,50,,
2022,182684567,160891563,0,104,NS,X,99,50,,
2022,182684568,160891564,1,73,70,M,10,20,70,
2022,182684570,160891566,1,28,25,F,20,40,20,30
2022,184638494,162620860,1,42,39,M,10,10,39,
2022,182684571,160891567,1,29,26,F,10,20,26,
2022,182638710,160851701,0,104,NS,X,99,50,,
2022,182944012,161121166,1,45,42,M,10,20,42,
2022,184638495,162620861,1,27,24,M,10,20,24,
2022,182684572,160891568,1,63,60,M,20,20,60,
2022,182684573,160891569,1,30,27,F,10,10,27,
2022,182684574,160891570,0,104,NS,X,99,50,,
2022,184638496,162620862,1,34,31,M,20,20,31,
2022,184638497,162620862,2,21,18,F,20,20,18,
2022,184638498,162620863,1,43,40,F,10,20,40,
2022,182684577,160891572,1,43,40,M,20,20,40,
2022,182684579,160891574,1,42,39,F,10,20,39,
2022,182684580,160891575,1,44,41,F,20,20,41,
2022,184638499,162620864,1,33,30,F,10,20,30,
2022,182684582,160891577,1,38,35,F,10,20,35,
2022,182684583,160891578,1,31,28,F,10,10,28,
2022,182684584,160891578,2,42,39,M,10,10,39,
2022,182684585,160891579,1,20,17,F,10,20,17,
2022,182684586,160891580,1,39,36,M,10,20,36,
2022,182684587,160891581,1,32,29,F,20,20,29,
2022,184638500,162620865,1,41,38,M,10,20,38,
2022,182684588,160891582,1,39,36,M,10,20,36,
2022,182684589,160891583,0,104,NS,X,99,50,,
2022,184638501,162620866,1,51,48,M,10,10,48,
2022,192240503,169344093,1,44,41,M,10,20,41,
2022,182684590,160891584,1,47,44,M,10,20,44,
2022,187104442,164803646,1,37,34,M,20,20,34,
2022,182684592,160891586,1,27,24,F,20,20,24,
2022,192240504,169344094,1,30,27,M,10,20,27,
2022,182684593,160891587,1,34,31,M,10,10,31,
2022,182684595,160891589,1,63,60,M,10,20,60,
2022,182684596,160891590,1,46,43,M,20,20,43,
2022,182684597,160891590,2,22,19,M,20,40,19,
2022,182638711,160851702,0,104,NS,X,99,50,,
2022,189789019,167178298,1,34,31,M,10,10,31,
2022,182684598,160891591,1,34,31,M,10,10,31,
2022,184638502,162620867,0,104,NS,X,99,50,,
2022,182638712,160851703,0,104,NS,X,99,50,,
2022,182684599,160891592,0,104,NS,X,99,50,,
2022,182684600,160891593,1,27,24,F,20,20,24,
2022,193187889,170175797,0,104,NS,X,99,50,,
2022,182684602,160891595,0,104,NS,X,99,50,,
2022,182684603,160891596,1,52,49,M,10,10,49,
2022,184638503,162620868,1,26,23,M,10,10,23,
2022,182684605,160891598,1,30,27,M,20,20,27,
2022,182684606,160891599,1,28,25,M,20,20,25,
2022,182684607,160891600,0,104,NS,X,99,50,,
2022,182684608,160891601,1,55,52,M,20,20,52,
