data_year,offense_id,incident_id,offense_code,attempt_complete_flag,location_id,num_premises_entered,method_entry_code
2022,192326192,160891554,290,C,25,,
2022,192326193,160891555,23C,C,17,,
2022,192326195,160891557,23C,C,11,,
2022,192326196,160891558,290,C,26,,
2022,192326197,160891559,13A,C,35,,
2022,192326198,160891560,35A,C,26,,
2022,194315110,162620859,23H,C,98,,
2022,192326199,160891561,23H,C,17,,
2022,192326200,160891562,220,C,26,1,F
2022,192326201,160891562,23F,C,26,,
2022,192326202,160891562,290,C,26,,
2022,192326203,160891563,23H,C,33,,
2022,192326204,160891564,13B,C,35,,
2022,192326206,160891566,23C,C,11,,
2022,194315111,162620860,13B,C,35,,
2022,192326207,160891567,100,C,35,,
2022,192279514,160851701,23C,C,11,,
2022,192597366,161121166,13B,C,35,,
2022,194315112,162620861,290,C,35,,
2022,192326208,160891568,35A,C,33,,
2022,192326209,160891569,13B,C,35,,
2022,192326210,160891570,220,A,11,,N
2022,192326211,160891570,23F,A,11,,
2022,194315113,162620862,35A,C,26,,
2022,194315114,162620863,35B,C,35,,
2022,192326213,160891572,35A,C,25,,
2022,192326215,160891574,13B,C,26,,
2022,192326216,160891575,100,C,23,,
2022,194315115,162620864,23C,C,24,,
2022,192326218,160891577,35A,C,26,,
2022,192326219,160891578,23G,C,33,,
2022,192326220,160891579,13C,C,38,,
2022,192326221,160891580,23C,C,98,,
2022,192326222,160891581,13C,C,35,,
2022,194315116,162620865,35B,C,25,,
2022,192326223,160891582,35A,C,25,,
2022,192326224,160891583,23H,C,33,,
2022,194315117,162620866,35B,C,25,,
2022,202033029,169344093,35A,C,35,,
2022,192326225,160891584,35A,C,25,,
2022,196806296,164803646,11A,C,26,,
2022,192326227,160891586,13B,C,23,,
2022,202033030,169344094,35A,C,26,,
2022,192326228,160891587,23H,C,35,,
2022,192326232,160891589,23C,C,11,,
2022,192326233,160891590,23H,C,33,,
2022,192279515,160851702,23H,C,17,,
2022,199528170,167178298,35B,C,25,,
2022,192326234,160891591,13B,C,25,,
2022,194315118,162620867,23H,C,98,,
2022,192279516,160851703,13B,C,25,,
2022,192326235,160891592,23H,C,35,,
2022,192326236,160891593,13B,C,26,,
2022,192326237,160891593,290,C,26,,
2022,202983487,170175797,11B,C,35,,
2022,192326239,160891595,23H,C,25,,
2022,192326240,160891596,13B,C,35,,
2022,192326241,160891596,220,C,35,,F
2022,192326242,160891596,290,C,35,,
2022,192326243,160891596,520,C,35,,
2022,194315119,162620868,23C,C,11,,
2022,192326245,160891598,35A,C,25,,
2022,192326246,160891599,23H,C,17,,
2022,192326247,160891600,26F,A,35,,
2022,192326248,160891601,23C,C,24,,
2022,194315120,162620869,35B,C,25,,
2022,192326249,160891602,290,C,25,,
2022,192326250,160891603,23H,C,26,,
2022,192326251,160891603,240,C,35,,
2022,194315121,162620870,13B,C,35,,
2022,192326252,160891604,13B,C,26,,
2022,192326253,160891605,13B,C,26,,
2022,194315122,162620871,290,C,35,,
2022,194315123,162620872,100,C,33,,
2022,194315124,162620873,13A,C,25,,
2022,192279517,160851704,220,C,25,,N
2022,192326254,160891606,220,C,35,,F
2022,192326255,160891606,290,C,35,,
2022,192279518,160851705,23H,C,35,,
2022,192326257,160891608,23C,C,24,,
2022,192279519,160851706,23F,C,25,,
2022,192279520,160851707,290,A,35,,
2022,192326258,160891609,23F,C,25,,
2022,192326259,160891610,13C,C,35,,
2022,192279521,160851708,290,C,26,,
2022,192326260,160891611,23H,C,24,,
2022,192326261,160891612,23H,C,35,,
2022,192279522,160851709,220,C,33,,F
2022,192279523,160851709,23H,C,33,,
2022,192279524,160851709,290,C,33,,
2022,192326262,160891613,23H,C,13,,
2022,192326263,160891613,290,C,13,,
2022,192326264,160891614,13C,C,35,,
2022,192326265,160891615,290,C,19,,
2022,192326266,160891616,35A,C,25,,
2022,192326267,160891616,520,C,25,,
2022,195235243,163426473,13C,C,33,,
2022,192326269,160891618,23H,C,25,,
2022,194315125,162620874,35A,C,26,,
2022,194315126,162620874,35B,C,26,,
2022,194315127,162620874,40B,C,26,,
2022,194315128,162620875,35A,C,25,,
2022,194315129,162620876,13B,C,35,,
2022,194315130,162620876,520,C,35,,
2022,192326270,160891619,23H,C,19,,
2022,192326271,160891619,26B,C,14,,
2022,194315132,162620878,100,C,35,,
2022,194315133,162620879,100,C,33,,
2022,192326272,160891620,280,C,25,,
2022,192326273,160891621,13C,C,26,,
2022,192326274,160891622,13C,C,35,,
2022,192326276,160891624,13B,C,35,,
2022,194315134,162620880,35A,C,26,,
2022,194315135,162620880,35B,C,25,,
2022,197006491,164978376,23C,C,17,,
2022,192326278,160891626,23H,C,32,,
2022,192326279,160891627,35A,C,25,,
2022,194315136,162620881,23F,C,25,,
2022,192326281,160891629,240,C,25,,
2022,194315137,162620882,23H,C,6,,
2022,194315138,162620882,290,C,6,,
2022,192326282,160891630,220,C,25,,N
2022,192326283,160891630,23F,C,25,,
2022,192326284,160891630,290,C,25,,
2022,192326285,160891631,520,C,11,,
2022,194315139,162620883,13C,C,35,,
2022,192441889,160989513,13A,C,25,,
2022,192326286,160891632,23H,C,26,,
2022,192279526,160851711,23C,C,17,,
2022,192326287,160891633,23H,C,24,,
2022,192279527,160851712,23C,C,14,,
2022,192326288,160891634,23F,C,2,,
2022,192279528,160851713,220,A,41,,N
2022,194315140,162620884,100,C,35,,
2022,192279529,160851714,23D,C,37,,
2022,194315141,162620885,290,C,35,,
2022,192326289,160891635,290,C,14,,
2022,192326290,160891636,23C,C,17,,
2022,202188053,169476544,13A,C,25,,
2022,192326294,160891639,35A,C,25,,
2022,192326295,160891640,23H,C,35,,
2022,192326296,160891641,26B,C,15,,
2022,192279530,160851715,13C,C,26,,
2022,192279531,160851715,290,C,33,,
2022,192326297,160891642,13C,C,15,,
2022,202033031,169344095,35A,C,26,,
2022,202033032,169344095,35B,C,26,,
2022,192326298,160891643,13B,C,33,,
2022,192326299,160891644,100,C,35,,
2022,194315143,162620887,100,C,35,,
2022,192326300,160891645,23C,C,19,,
2022,202033033,169344096,35A,C,25,,
2022,194315144,162620888,35B,C,25,,
2022,192326301,160891646,23H,C,33,,
2022,192326302,160891647,23C,C,24,,
2022,192279532,160851716,13B,C,35,,
2022,192279533,160851717,290,C,32,,
2022,192326303,160891648,240,C,11,,
2022,192326304,160891649,23C,C,17,,
2022,192326306,160891651,220,C,25,,F
2022,192326307,160891652,290,C,32,,
2022,194315145,162620889,290,C,35,,
2022,192326309,160891654,13C,C,35,,
2022,192326310,160891655,23G,C,11,,
2022,192326311,160891656,13C,C,15,,
2022,192326312,160891657,13C,C,35,,
2022,194315146,162620890,23C,C,17,,
2022,192326313,160891658,35A,C,25,,
2022,192326314,160891659,240,C,33,,
2022,192326315,160891660,290,C,25,,
2022,192279537,160851721,23H,C,35,,
2022,192326316,160891661,23C,C,17,,
2022,199172517,166872421,13B,C,24,,
2022,192326319,160891664,23F,C,35,,
2022,192326320,160891665,13B,C,26,,
2022,192326321,160891665,240,C,26,,
2022,192326322,160891666,100,C,35,,
2022,192326323,160891667,13C,C,35,,
2022,192326324,160891668,13C,C,35,,
2022,192326325,160891669,100,C,23,,
2022,192326326,160891670,23G,C,11,,
2022,192279539,160851723,220,A,35,,N
2022,194315147,162620891,13A,C,26,,
2022,192326327,160891671,23C,C,14,,
2022,194315148,162620892,250,C,11,,
2022,194315149,162620892,26F,C,11,,
2022,192326328,160891672,23C,C,19,,
2022,192507021,161044514,13C,C,35,,
2022,192507022,161044515,290,C,25,,
2022,192326331,160891674,23H,C,35,,
2022,192441891,160989515,240,C,98,,
2022,192326333,160891676,23H,C,17,,
2022,192326334,160891676,240,C,17,,
2022,192326336,160891678,23C,C,17,,
2022,192326337,160891679,100,C,35,,
2022,192279540,160851724,23C,C,17,,
2022,194315150,162620893,100,C,11,,
2022,192326338,160891680,23H,C,33,,
2022,194315151,162620894,23C,C,17,,
2022,192326339,160891681,23H,C,35,,
2022,192326340,160891682,35A,C,23,,
2022,194315152,162620895,35A,C,26,,
2022,200761517,168251568,35B,C,25,,
2022,194315153,162620896,100,C,35,,
2022,194315154,162620897,250,C,26,,
2022,192326341,160891683,13B,C,35,,
