data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2022,158652796,3,1,,
2022,158652797,44,160,2022-08-10,
2022,158652798,36,249,,
2022,158652798,44,160,,
2022,158652799,19,494,2022-08-15,
2022,158652800,19,494,,
2022,158652801,35,1,,
2022,158652802,10,,,
2022,160129974,61,499,,
2022,158652803,9,0,,
2022,158652803,20,190,,
2022,158652803,51,0,,
2022,158652804,3,1,,
2022,158652805,3,1,,
2022,158652805,36,1,,
2022,158652806,36,1200,,
2022,158652807,36,143,,
2022,158618531,63,30,2022-08-16,
2022,158618532,36,2947,,
2022,158618532,63,30,,
2022,160129975,3,2000,,
2022,158652809,10,,,
2022,160129976,10,,,
2022,160129977,11,3,,
2022,158652812,10,,,
2022,160129978,19,88,,
2022,158652815,10,,,
2022,158652816,38,1000,,
2022,158652817,6,15,2022-08-24,
2022,158652817,8,3,2022-08-24,
2022,158652817,17,12,2022-08-24,
2022,158652818,6,15,,
2022,158652818,8,3,,
2022,158652818,17,12,,
2022,158652818,36,309,,
2022,158652818,63,19,,
2022,160129979,11,1,,
2022,158652819,10,,,
2022,158652820,38,500,,
2022,160129980,11,1,,
2022,165968049,10,,,
2022,158652821,10,,,
2022,165968050,10,,,
2022,158652822,13,250,,
2022,158652825,19,504,,
2022,158652826,63,1110,,
2022,158618533,61,1000,,
2022,164069601,11,1,,
2022,160129981,20,319,,
2022,158652827,63,338,,
2022,158652828,31,1500,,
2022,158652829,20,35,,
2022,158652831,63,1,,
2022,160129982,36,77,,
2022,158652833,10,,,
2022,158652834,15,15179,,
2022,158652834,36,2081,,
2022,158652836,63,673,,
2022,160129983,11,1,,
2022,158652837,38,450,,
2022,158652838,3,1,,
2022,158652838,9,0,,
2022,160129984,63,200,,
2022,158618534,9,0,,
2022,158652840,16,20,,
2022,158652840,30,30,,
2022,158618535,38,1,,
2022,158652841,8,196,,
2022,158618536,38,250,,
2022,158652842,38,300,,
2022,158618538,63,1,,
2022,158652843,4,168,2022-09-12,
2022,158652844,4,168,,
2022,158652845,47,0,,
2022,158618539,38,1,,
2022,158618540,3,1,,
2022,158618540,6,30,,
2022,158618540,51,0,,
2022,158652846,63,0,,
2022,158652847,64,600,,
2022,158652848,54,100,,
2022,158652849,10,,,
2022,158652850,38,2500,,
2022,160129986,10,,,
2022,160129986,11,1,,
2022,160129987,10,,,
2022,158652851,9,0,,
2022,158652851,20,20,,
2022,158652851,25,1,,
2022,158652851,47,0,,
2022,158652851,51,0,,
2022,160129991,10,,,
2022,160129991,11,1,,
2022,162179088,20,360,2022-09-20,
2022,155226641,63,2319,,
2022,155226642,2,10,2022-01-21,
2022,155226643,2,43,,
2022,155172766,11,1,,
2022,155172767,2,1,,
2022,155172768,2,93,2022-02-11,
2022,155172769,2,124,,
2022,155172770,38,400,,
2022,155172771,38,400,,
2022,155172772,63,235,,
2022,155172773,10,,,
2022,155172774,63,849,,
2022,155172775,61,1100,,
2022,155172776,61,1466,,
2022,155172777,63,50,,
2022,162179089,20,474,,
2022,158652856,63,660,,
2022,158652857,10,,,
2022,160129992,38,700,,
2022,158652860,3,14000,,
2022,160129993,38,450,,
2022,160129994,38,451,,
2022,158652861,63,5,,
2022,156411179,11,1,,
2022,156411180,11,1,,
2022,160131552,38,630,,
2022,160131553,38,1150,,
2022,160131554,2,17,,
2022,160131555,20,1000,2022-10-06,
2022,160131556,62,300,,
2022,160131557,61,600,,
2022,160131558,20,300,,
2022,161227610,20,2,,
2022,160131560,38,1600,,
2022,160131561,38,4271,,
2022,160131562,38,11984,,
2022,160131563,3,20000,2022-06-07,
2022,160131564,38,2800,,
2022,160131565,38,5749,,
2022,160131567,50,72,,
2022,160131568,61,500,,
2022,160131569,20,500,,
2022,160131570,6,85,,
2022,160131570,20,800,,
2022,160131570,61,1200,,
2022,160131570,63,5,,
2022,160131571,10,,,
2022,160131571,11,1,,
2022,160131572,9,0,,
2022,160131572,17,35,,
2022,160131572,25,185,,
2022,160131572,51,0,,
2022,160131572,61,450,,
2022,160131573,20,50,,
2022,160131574,38,400,,
2022,160131575,20,81000,,
2022,160131576,38,886,,
2022,160131577,8,421,,
2022,160131578,10,,,
2022,160131579,38,1000,,
2022,160131580,10,,,
2022,160131580,11,1,,
2022,160131581,63,400,,
2022,160131582,38,1176,,
2022,160131583,3,1600,,
2022,160131584,38,1600,,
2022,160131585,10,,,
2022,160131586,10,,,
2022,160131586,11,1,,
2022,160131587,19,157,,
2022,160131588,38,210,,
2022,160131589,63,164,,
2022,160131591,38,3700,,
2022,160131592,10,,,
2022,160131593,3,70000,2022-07-15,
2022,160131594,3,70000,,
2022,160131595,38,1000,,
2022,160131596,20,50,,
2022,160131596,63,25,,
2022,160131597,17,22250,,
2022,160131598,63,300,,
2022,160131599,20,1900,,
2022,160131600,11,1,,
2022,160131601,38,1300,,
2022,160131602,10,,,
2022,160131603,19,40,2022-07-27,
2022,160131603,51,0,2022-07-27,
2022,160131604,8,31,,
2022,160131605,9,0,,
2022,160131605,20,500,,
2022,160131605,25,20,,
2022,160131607,20,520,,
2022,160131608,63,100,,
2022,160131609,63,4500,,
2022,160131610,38,2298,,
2022,160131611,9,0,2022-08-09,
2022,160131612,63,300,,
2022,160131613,21,500,,
2022,160131613,63,100,,
2022,160131614,20,450,,
2022,160131616,50,69,,
2022,160131617,20,300,,
2022,160131618,20,300,2022-08-14,
2022,160131619,11,1,,
2022,160131620,20,671,,
2022,160131621,10,,,
2022,160131621,11,1,,
2022,160131622,3,4000,2022-08-19,
2022,160131623,3,4000,,
2022,160131625,43,483,,
2022,160131627,8,149,,
2022,160131627,19,122,,
2022,160131628,38,2400,,
2022,160131629,36,7000,,
2022,160131630,50,68,,
2022,160131631,61,1500,,
2022,160131632,63,412,,
2022,160131633,9,0,,
2022,160131634,3,30535,,
2022,160131634,38,400,,
2022,160131634,63,100,,
2022,160131635,3,37000,,
2022,160131636,25,1,,
2022,160131637,38,403,,
2022,160131638,20,50,,
2022,160131639,29,250,,
2022,160131640,19,51,,
2022,160131641,11,1,,
2022,160131642,63,2100,,
2022,160131643,10,,,
2022,160131643,11,1,,
2022,160131644,17,600,,
2022,160131645,3,20000,2022-09-28,
2022,160131646,3,20000,,
2022,160131647,3,453,,
2022,160131648,3,11925,,
2022,160131649,64,64000,2022-09-26,
2022,160131650,3,900,,
2022,160131651,38,1215,,
2022,160131652,36,690,,
2022,160131653,50,7,,
2022,160131654,3,500,,
2022,160131655,38,1796,,
2022,160131656,63,1779,,
2022,160131657,10,,,
2022,160131657,11,1,,
2022,160131658,20,2020,,
2022,160131659,50,30,,
2022,160131660,19,1,,
2022,160131660,50,40,,
2022,160131661,50,25,,
2022,160131662,38,1600,,
2022,160131663,20,136,,
2022,160131664,6,870,,
2022,160131664,16,65,,
2022,160131664,63,85,,
