data_year,nibrs_month_id,agency_id,month_num,inc_data_year,reported_status,report_date,update_flag,orig_format,data_home,ddocname,did,month_pub_status
2022,44216376,12084,8,2022,R,,,X,,2022_08_NJ0010100_2022020004_INC,160382786,
2022,44216376,12084,8,2022,R,,,X,,2022_08_NJ0010100_2022020103_INC,160382789,
2022,44215999,12084,7,2022,R,,,X,,2022_07_NJ0010100_2022020196_INC,160382795,
2022,44216376,12084,8,2022,R,,,X,,2022_08_NJ0010100_2022020207_INC,160382798,
2022,44216376,12084,8,2022,R,,,X,,2022_08_NJ0010100_2022020278_INC,160382801,
2022,44216376,12084,8,2022,R,,,X,,2022_08_NJ0010100_2022020320_INC,160382804,
2022,44216376,12084,8,2022,I,,,X,,2022_08_NJ0010100_2022020377_INC,164964025,
2022,44216376,12084,8,2022,R,,,X,,2022_08_NJ0010100_2022020386_INC,160382807,
2022,44216376,12084,8,2022,R,,,X,,2022_08_NJ0010100_2022020387_INC,160382810,
2022,44216376,12084,8,2022,R,,,X,,2022_08_NJ0010100_2022020442_INC,160382813,
2022,44216376,12084,8,2022,R,,,X,,2022_08_NJ0010100_2022020446_INC,160382816,
2022,44216376,12084,8,2022,R,,,X,,2022_08_NJ0010100_2022020460_INC,160382822,
2022,44216376,12084,8,2022,I,,,X,,2022_08_NJ0010100_2022020471_INC,164964028,
2022,44216376,12084,8,2022,R,,,X,,2022_08_NJ0010100_2022020488_INC,160382825,
2022,44216376,12084,8,2022,R,,,X,,2022_08_NJ0010100_2022020504_INC,160293729,
2022,44216376,12084,8,2022,I,,,X,,2022_08_NJ0010100_2022020572_INC,161022906,
2022,44216376,12084,8,2022,I,,,X,,2022_08_NJ0010100_2022020615_INC,164964031,
2022,44216376,12084,8,2022,R,,,X,,2022_08_NJ0010100_2022020623_INC,160382828,
2022,44216376,12084,8,2022,R,,,X,,2022_08_NJ0010100_2022020626_INC,160382831,
2022,44216376,12084,8,2022,R,,,X,,2022_08_NJ0010100_2022020682_INC,160382834,
2022,44216376,12084,8,2022,R,,,X,,2022_08_NJ0010100_2022020683_INC,164964034,
2022,44216376,12084,8,2022,I,,,X,,2022_08_NJ0010100_2022020687_INC,164964037,
