yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
120832022,12083,2022,NJ0010000,NJ0010000,,N,N,,I,ATLANTIC,ATLANTIC CO SHERIFFS OFF MAYS LANDING,Atlantic,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,County,0,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,96,9,105,16,25,41,0,0,2021-01-01,2021-01-01,2021-01-01,2021-05-01,2021-05-01,2021-05-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
120842022,12084,2022,NJ0010100,NJ0010100,,N,N,,I,ABSECON,ABSECON PD,Absecon,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,9153,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,24,1,25,2,2,4,2.8,3.2,2021-01-01,2021-01-01,2021-07-01,2021-07-01,2021-07-01,2021-07-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
120852022,12085,2022,NJ0010200,NJ0010200,,N,N,,I,ATLANTIC CITY,ATLANTIC CITY PD,Atlantic City,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,38502,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,235,23,258,35,49,84,7.0,8.9,2021-01-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
120862022,12086,2022,NJ0010300,NJ0010300,,N,N,,I,BRIGANTINE,BRIGANTINE PD,Brigantine,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,7642,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,31,3,34,3,7,10,4.4,5.8,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
120882022,12088,2022,NJ0010700,NJ0010700,,N,N,,I,EGG HARBOR CITY,EGG HARBOR CITY PD,Egg Harbor City,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,4402,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,13,0,13,2,1,3,3.4,3.6,2021-01-01,2021-11-01,2022-02-01,2022-02-01,2022-02-01,2022-02-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
120892022,12089,2022,NJ0010800,NJ0010800,,N,N,,I,EGG HARBOR TOWNSHIP,EGG HARBOR TOWNSHIP POLICE DEPARTMENT,Egg Harbor Township,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,47747,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,81,14,95,5,27,32,1.8,2.7,2021-01-01,2021-06-01,2021-12-01,2021-12-01,2021-12-01,2021-12-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
120902022,12090,2022,NJ0011100,NJ0011100,,N,N,,I,GALLOWAY TOWNSHIP,GALLOWAY TOWNSHIP POLICE DEPARTMENT,Galloway Township,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,37961,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,59,9,68,3,18,21,1.6,2.3,2021-01-01,2021-05-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
120912022,12091,2022,NJ0011200,NJ0011200,,N,N,,I,HAMILTON TOWNSHIP,HAMILTON TWP PD MAYS LANDING,"Hamilton Township, Atlantic County",,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,28658,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,43,10,53,10,17,27,1.8,2.8,2021-01-01,2021-12-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
120962022,12096,2022,NJ0011700,NJ0011700,,N,N,,I,MULLICA TOWNSHIP,MULLICA TWP PD ELWOOD,Mullica Township,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,5798,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,14,0,14,1,1,2,2.6,2.8,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
120992022,12099,2022,NJ0012100,NJ0012100,,N,N,,I,SOMERS POINT,SOMERS POINT PD,Somers Point,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,10467,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,29,2,31,0,5,5,2.8,3.4,2021-01-01,2021-01-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
