relationship_name,victim_age,victim_race,victim_sex,victim_ethnicity,offender_age,offender_sex,offender_ethnicity,offender_race,location_name,offense_name,crime_against,ct_flag,hc_flag,offense_category_name,incident_hour,month_num,latitude,longitude
1,4.189654742026425,5,1,1,3.4657359027997265,1,0,5,35,0,0,0,1,1,19.0,8.0,-74.67381209025537,39.48986188076116
23,4.02535169073515,2,1,1,4.127134385045092,0,1,2,31,1,1,1,0,12,9.0,8.0,-74.784974528595,39.49598566069129
11,3.970291913552122,5,1,1,4.2626798770413155,1,1,5,35,30,0,0,1,1,14.0,8.0,-74.71540263010813,39.57014191135041
3,3.5553480614894135,5,0,1,3.6888794541139363,1,0,5,35,30,0,0,1,1,23.0,8.0,-74.63886761035972,39.48231458670155
1,3.332204510175204,2,1,1,3.295836866004329,0,1,5,35,20,0,0,1,11,10.0,8.0,-74.67976867318738,39.514156068303855
24,4.248495242049359,5,1,1,3.7612001156935624,1,1,5,35,30,0,0,1,1,19.0,8.0,-74.61795975001375,39.44592713534043
13,3.9512437185814275,5,0,1,3.332204510175204,0,0,5,35,30,0,0,1,1,15.0,8.0,-74.67553342979211,39.506104640287475
13,3.828641396489095,5,1,1,3.6888794541139363,0,1,5,25,30,0,0,1,1,0.0,8.0,-74.69275504502802,39.56698584221456
24,3.6375861597263857,2,1,1,3.7376696182833684,0,1,2,22,20,0,0,1,11,19.0,8.0,-74.6663891544176,39.490188876574166
1,2.772588722239781,5,0,1,2.8903717578961645,0,1,5,40,18,0,0,1,1,12.0,8.0,-74.67689592952397,39.46810517763148
15,3.4339872044851463,2,0,1,3.4011973816621555,0,1,2,35,18,0,0,1,1,8.0,8.0,-74.74638266539816,39.49092822786432
20,3.258096538021482,5,0,0,3.5553480614894135,1,1,2,25,26,0,0,1,15,15.0,8.0,-74.71482282685342,39.62492871857875
8,3.4339872044851463,2,0,1,3.2188758248682006,0,1,2,22,30,0,0,1,1,19.0,8.0,-74.68516263434111,39.62943814761492
1,4.189654742026425,5,1,1,3.4657359027997265,1,0,5,35,1,1,1,0,12,14.0,8.0,-74.73658728622735,39.562497070025984
16,3.4339872044851463,5,0,1,3.4657359027997265,1,0,5,24,30,0,0,1,1,10.0,8.0,-74.67305881364497,39.52428519748631
3,3.4965075614664802,5,0,1,3.7376696182833684,1,1,5,35,30,0,0,1,1,2.0,9.0,-74.71675362976028,39.58903777786745
13,2.70805020110221,2,1,1,3.295836866004329,1,1,2,25,30,0,0,1,1,5.0,9.0,-74.80961111840476,39.56135683732562
3,3.4965075614664802,5,0,1,3.784189633918261,1,1,5,25,30,0,0,1,1,11.0,9.0,-74.78334804463289,39.589197389869504
14,3.7376696182833684,2,0,1,3.4339872044851463,1,1,2,35,7,1,0,1,5,16.0,9.0,-74.6126143089416,39.47958714452393
24,3.6375861597263857,2,1,1,3.7376696182833684,0,1,2,33,20,0,0,1,11,19.0,9.0,-74.71169496085378,39.5250528892634
23,3.6888794541139363,2,1,1,3.6375861597263857,0,1,2,35,7,1,0,1,5,9.0,9.0,-74.73499481852805,39.534708383374685
3,3.912023005428146,2,0,1,3.9889840465642745,1,1,2,35,18,0,0,1,1,9.0,9.0,-74.65593961781325,39.54990406099845
0,3.828641396489095,2,0,1,4.02535169073515,1,1,5,23,1,1,1,0,12,10.0,9.0,-74.70333370693909,39.471341046935
0,3.828641396489095,2,0,1,4.02535169073515,1,1,5,23,1,1,1,0,12,10.0,9.0,-74.65083141951958,39.553528097139264
17,3.784189633918261,5,0,1,4.04305126783455,0,1,5,35,1,1,1,0,12,10.0,9.0,-74.6781847672681,39.55017415056804
11,4.110873864173311,5,1,1,3.295836866004329,1,1,5,35,18,0,0,1,1,19.0,9.0,-74.616709750469,39.56609239490863
24,3.4339872044851463,5,1,0,3.367295829986474,0,0,5,35,20,0,0,1,11,17.0,9.0,-74.66874265497938,39.49854719702464
24,3.784189633918261,2,1,1,3.4657359027997265,0,1,2,33,20,0,0,1,11,17.0,9.0,-74.6729944734184,39.56909289588798
3,3.258096538021482,2,0,1,3.4657359027997265,1,1,2,25,18,0,0,1,1,21.0,9.0,-74.67992201555369,39.569697195887876
0,4.1588830833596715,2,1,1,4.127134385045092,1,1,5,35,18,0,0,1,1,10.0,9.0,-74.71612765495081,39.52289291027843
13,3.6375861597263857,5,1,1,3.5553480614894135,1,1,5,24,21,1,1,1,13,19.0,9.0,-74.70584339102868,39.44185236655335
23,3.7376696182833684,5,0,1,3.912023005428146,1,1,1,35,18,0,0,1,1,16.0,9.0,-74.70850578988143,39.406952525081834
24,3.367295829986474,5,0,1,3.4339872044851463,1,1,2,35,20,0,0,1,11,9.0,10.0,-74.73270721564388,39.536341838688294
8,3.784189633918261,5,0,1,3.4965075614664802,1,1,5,35,7,1,0,1,5,22.0,10.0,-74.81291426169776,39.51544943540963
22,4.189654742026425,5,1,1,4.0943445622221,1,1,5,35,1,1,1,0,12,11.0,10.0,-74.6935007926851,39.48132234462156
20,3.2188758248682006,5,0,1,3.295836866004329,0,1,5,14,18,0,0,1,1,10.0,10.0,-74.68253825587125,39.57658217527324
0,3.912023005428146,1,0,1,3.871201010907891,1,1,5,33,30,0,0,1,1,15.0,10.0,-74.605414322981,39.44766314976161
1,3.4965075614664802,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,16.0,10.0,-74.6852799124975,39.542732488453595
24,3.784189633918261,2,1,1,3.4657359027997265,1,0,2,35,20,0,0,1,11,16.0,10.0,-74.66016528134443,39.58087993519828
3,3.4965075614664802,1,0,3,3.5553480614894135,1,1,2,35,30,0,0,1,1,23.0,10.0,-74.70627681183215,39.546243290717946
3,3.8501476017100584,5,1,0,3.4657359027997265,0,0,5,35,18,0,0,1,1,12.0,10.0,-74.71224991948912,39.56684599527684
