relationship_name,victim_age,victim_race,victim_sex,victim_ethnicity,offender_age,offender_sex,offender_ethnicity,offender_race,location_name,offense_name,crime_against,ct_flag,hc_flag,offense_category_name,incident_hour,month_num,latitude,longitude
1,4.189654742026425,5,1,1,3.4657359027997265,1,0,5,35,0,0,0,1,1,19.0,8.0,-74.69336914821366,39.50965938826216
23,4.02535169073515,2,1,1,4.127134385045092,0,1,2,31,1,1,1,0,12,9.0,8.0,-74.7047692826569,39.47758212544779
11,3.970291913552122,5,1,1,4.2626798770413155,1,1,5,35,30,0,0,1,1,14.0,8.0,-74.65041189483588,39.52396124904713
3,3.5553480614894135,5,0,1,3.6888794541139363,1,0,5,35,30,0,0,1,1,23.0,8.0,-74.69958439162933,39.49173514231022
1,3.332204510175204,2,1,1,3.295836866004329,0,1,5,35,20,0,0,1,11,10.0,8.0,-74.65244150039725,39.47998371496156
24,4.248495242049359,5,1,1,3.7612001156935624,1,1,5,35,30,0,0,1,1,19.0,8.0,-74.63521053863607,39.541089885658856
13,3.9512437185814275,5,0,1,3.332204510175204,0,0,5,35,30,0,0,1,1,15.0,8.0,-74.74732079872545,39.60122849248316
13,3.828641396489095,5,1,1,3.6888794541139363,0,1,5,25,30,0,0,1,1,0.0,8.0,-74.68707283680611,39.64042598275311
24,3.6375861597263857,2,1,1,3.7376696182833684,0,1,2,22,20,0,0,1,11,19.0,8.0,-74.72276974575254,39.51665928073419
1,2.772588722239781,5,0,1,2.8903717578961645,0,1,5,40,18,0,0,1,1,12.0,8.0,-74.73543352160785,39.52675360639666
15,3.4339872044851463,2,0,1,3.4011973816621555,0,1,2,35,18,0,0,1,1,8.0,8.0,-74.7281650409517,39.53929794043199
20,3.258096538021482,5,0,0,3.5553480614894135,1,1,2,25,26,0,0,1,15,15.0,8.0,-74.79388767902297,39.54962903325386
8,3.4339872044851463,2,0,1,3.2188758248682006,0,1,2,22,30,0,0,1,1,19.0,8.0,-74.69206108848043,39.58276573314289
1,4.189654742026425,5,1,1,3.4657359027997265,1,0,5,35,1,1,1,0,12,14.0,8.0,-74.68528149001651,39.51871958514168
16,3.4339872044851463,5,0,1,3.4657359027997265,1,0,5,24,30,0,0,1,1,10.0,8.0,-74.67212571999258,39.49107646204761
3,3.4965075614664802,5,0,1,3.7376696182833684,1,1,5,35,30,0,0,1,1,2.0,9.0,-74.74589521716571,39.5417964428028
13,2.70805020110221,2,1,1,3.295836866004329,1,1,2,25,30,0,0,1,1,5.0,9.0,-74.63832575142658,39.485560797278616
3,3.4965075614664802,5,0,1,3.784189633918261,1,1,5,25,30,0,0,1,1,11.0,9.0,-74.7248455524005,39.5178676584377
14,3.7376696182833684,2,0,1,3.4339872044851463,1,1,2,35,7,1,0,1,5,16.0,9.0,-74.67700460705021,39.59879126584584
24,3.6375861597263857,2,1,1,3.7376696182833684,0,1,2,33,20,0,0,1,11,19.0,9.0,-74.70088210248274,39.58751909254443
23,3.6888794541139363,2,1,1,3.6375861597263857,0,1,2,35,7,1,0,1,5,9.0,9.0,-74.6820767876615,39.43384486482472
3,3.912023005428146,2,0,1,3.9889840465642745,1,1,2,35,18,0,0,1,1,9.0,9.0,-74.7615188729226,39.548594465257416
0,3.828641396489095,2,0,1,4.02535169073515,1,1,5,23,1,1,1,0,12,10.0,9.0,-74.8036951498126,39.512961648274306
0,3.828641396489095,2,0,1,4.02535169073515,1,1,5,23,1,1,1,0,12,10.0,9.0,-74.69655768305465,39.57794955294177
17,3.784189633918261,5,0,1,4.04305126783455,0,1,5,35,1,1,1,0,12,10.0,9.0,-74.65688615648676,39.53627559779662
11,4.110873864173311,5,1,1,3.295836866004329,1,1,5,35,18,0,0,1,1,19.0,9.0,-74.63754983562492,39.53989495868096
24,3.4339872044851463,5,1,0,3.367295829986474,0,0,5,35,20,0,0,1,11,17.0,9.0,-74.67939340282697,39.49254171914581
24,3.784189633918261,2,1,1,3.4657359027997265,0,1,2,33,20,0,0,1,11,17.0,9.0,-74.70204612765163,39.57233783005925
3,3.258096538021482,2,0,1,3.4657359027997265,1,1,2,25,18,0,0,1,1,21.0,9.0,-74.6777538488234,39.52583519829993
0,4.1588830833596715,2,1,1,4.127134385045092,1,1,5,35,18,0,0,1,1,10.0,9.0,-74.63345742081361,39.52116360829118
13,3.6375861597263857,5,1,1,3.5553480614894135,1,1,5,24,21,1,1,1,13,19.0,9.0,-74.59779535805941,39.477319178144974
23,3.7376696182833684,5,0,1,3.912023005428146,1,1,1,35,18,0,0,1,1,16.0,9.0,-74.74631672906608,39.39484400363495
24,3.367295829986474,5,0,1,3.4339872044851463,1,1,2,35,20,0,0,1,11,9.0,10.0,-74.62135932948159,39.440041212139164
8,3.784189633918261,5,0,1,3.4965075614664802,1,1,5,35,7,1,0,1,5,22.0,10.0,-74.75946151621979,39.485057189405985
