relationship_name,victim_age,victim_race,victim_sex,victim_ethnicity,offender_age,offender_sex,offender_ethnicity,offender_race,location_name,offense_name,crime_against,ct_flag,hc_flag,offense_category_name,incident_hour,month_num,latitude,longitude
1,4.189654742026425,5,1,1,3.4657359027997265,1,0,5,35,0,0,0,1,1,19.0,8,-74.71496728362213,39.56012633135773
23,4.02535169073515,2,1,1,4.127134385045092,0,1,2,31,1,1,1,0,12,9.0,8,-74.7671412952844,39.45975984461875
11,3.970291913552122,5,1,1,4.2626798770413155,1,1,5,35,30,0,0,1,1,14.0,8,-74.68327608338704,39.578313396417286
3,3.5553480614894135,5,0,1,3.6888794541139363,1,0,5,35,30,0,0,1,1,23.0,8,-74.68429426361348,39.5193862003851
1,3.332204510175204,2,1,1,3.295836866004329,0,1,5,35,20,0,0,1,11,10.0,8,-74.71354542126129,39.52633135284385
24,4.248495242049359,5,1,1,3.7612001156935624,1,1,5,35,30,0,0,1,1,19.0,8,-74.63137669765625,39.554138541095085
13,3.9512437185814275,5,0,1,3.332204510175204,0,0,5,35,30,0,0,1,1,15.0,8,-74.64162401323107,39.47158213644258
13,3.828641396489095,5,1,1,3.6888794541139363,0,1,5,25,30,0,0,1,1,0.0,8,-74.60169065054119,39.44483464169849
24,3.6375861597263857,2,1,1,3.7376696182833684,0,1,2,22,20,0,0,1,11,19.0,8,-74.6531736075126,39.45999705116378
1,2.772588722239781,5,0,1,2.8903717578961645,0,1,5,40,18,0,0,1,1,12.0,8,-74.8085088769171,39.43769173245321
15,3.4339872044851463,2,0,1,3.4011973816621555,0,1,2,35,18,0,0,1,1,8.0,8,-74.59391097492073,39.56021452028205
20,3.258096538021482,5,0,0,3.5553480614894135,1,1,2,25,26,0,0,1,15,15.0,8,-74.72726619421508,39.53992262024422
8,3.4339872044851463,2,0,1,3.2188758248682006,0,1,2,22,30,0,0,1,1,19.0,8,-74.71024357250404,39.48375152494404
1,4.189654742026425,5,1,1,3.4657359027997265,1,0,5,35,1,1,1,0,12,14.0,8,-74.67175118412196,39.52353119210238
16,3.4339872044851463,5,0,1,3.4657359027997265,1,0,5,24,30,0,0,1,1,10.0,8,-74.59537849224175,39.46111378106217
14,4.276666119016055,5,0,3,3.9512437185814275,1,1,5,6,10,0,0,0,6,23.0,9,-74.76041195527338,39.56114544137064
3,3.4965075614664802,5,0,1,3.7376696182833684,1,1,5,35,30,0,0,1,1,2.0,9,-74.71958793074009,39.45336299239964
13,2.70805020110221,2,1,1,3.295836866004329,1,1,2,25,30,0,0,1,1,5.0,9,-74.7037618280548,39.44292245687968
3,3.4965075614664802,5,0,1,3.784189633918261,1,1,5,25,30,0,0,1,1,11.0,9,-74.66324026644055,39.51800249506111
14,3.7376696182833684,2,0,1,3.4339872044851463,1,1,2,35,7,1,0,1,5,16.0,9,-74.73658902898948,39.472405027126065
24,3.6375861597263857,2,1,1,3.7376696182833684,0,1,2,33,20,0,0,1,11,19.0,9,-74.64151689140354,39.60746641597702
20,3.258096538021482,5,1,1,3.4339872044851463,1,1,2,42,13,1,1,1,13,20.0,9,-74.79931719467491,39.453973845188756
20,3.258096538021482,5,1,1,3.4339872044851463,1,1,2,32,17,0,0,0,0,20.0,9,-74.61702659924956,39.57040788569543
23,3.6888794541139363,2,1,1,3.6375861597263857,0,1,2,35,7,1,0,1,5,9.0,9,-74.61729213068097,39.4893850644006
3,3.912023005428146,2,0,1,3.9889840465642745,1,1,2,35,18,0,0,1,1,9.0,9,-74.66121931600105,39.515359740920786
0,3.828641396489095,2,0,1,4.02535169073515,1,1,5,23,1,1,1,0,12,10.0,9,-74.58243819468527,39.548668011413014
