relationship_name,victim_age,victim_race,victim_sex,victim_ethnicity,offender_age,offender_sex,offender_ethnicity,offender_race,location_name,offense_name,crime_against,ct_flag,hc_flag,offense_category_name,incident_hour,month_num,latitude,longitude
1,4.189654742026425,5,1,1,3.4657359027997265,1,0,5,35,0,0,0,1,1,19.0,8,-74.61458999786778,39.525783230963896
23,4.02535169073515,2,1,1,4.127134385045092,0,1,2,31,1,1,1,0,12,9.0,8,-74.73579897088365,39.53464219756104
11,3.970291913552122,5,1,1,4.2626798770413155,1,1,5,35,30,0,0,1,1,14.0,8,-74.71679124111604,39.493235805240595
3,3.5553480614894135,5,0,1,3.6888794541139363,1,0,5,35,30,0,0,1,1,23.0,8,-74.69270205565996,39.550993954764444
1,3.332204510175204,2,1,1,3.295836866004329,0,1,5,35,20,0,0,1,11,10.0,8,-74.62799744277243,39.59325217857249
24,4.248495242049359,5,1,1,3.7612001156935624,1,1,5,35,30,0,0,1,1,19.0,8,-74.67907763113494,39.60419678047373
13,3.9512437185814275,5,0,1,3.332204510175204,0,0,5,35,30,0,0,1,1,15.0,8,-74.66240358789294,39.4560808312261
13,3.828641396489095,5,1,1,3.6888794541139363,0,1,5,25,30,0,0,1,1,0.0,8,-74.74999111152756,39.51695621585925
24,3.6375861597263857,2,1,1,3.7376696182833684,0,1,2,22,20,0,0,1,11,19.0,8,-74.71736350492111,39.532339571971924
1,2.772588722239781,5,0,1,2.8903717578961645,0,1,5,40,18,0,0,1,1,12.0,8,-74.73527432980647,39.481628787224224
15,3.4339872044851463,2,0,1,3.4011973816621555,0,1,2,35,18,0,0,1,1,8.0,8,-74.71208571101549,39.495961045517795
20,3.258096538021482,5,0,0,3.5553480614894135,1,1,2,25,26,0,0,1,15,15.0,8,-74.70717619556724,39.476110409835364
8,3.4339872044851463,2,0,1,3.2188758248682006,0,1,2,22,30,0,0,1,1,19.0,8,-74.66212314959685,39.49254228126856
1,4.189654742026425,5,1,1,3.4657359027997265,1,0,5,35,1,1,1,0,12,14.0,8,-74.6762493399065,39.48785787255678
16,3.4339872044851463,5,0,1,3.4657359027997265,1,0,5,24,30,0,0,1,1,10.0,8,-74.75907540088586,39.513173483569034
14,4.276666119016055,5,0,3,3.9512437185814275,1,1,5,24,4,0,0,1,1,23.0,9,-74.70219757511832,39.556493741260546
3,3.4965075614664802,5,0,1,3.7376696182833684,1,1,5,35,30,0,0,1,1,2.0,9,-74.69251538707692,39.49364671946824
13,2.70805020110221,2,1,1,3.295836866004329,1,1,2,25,30,0,0,1,1,5.0,9,-74.76526786179049,39.4692216252204
3,3.4965075614664802,5,0,1,3.784189633918261,1,1,5,25,30,0,0,1,1,11.0,9,-74.61354645698367,39.59743561145106
14,3.7376696182833684,2,0,1,3.4339872044851463,1,1,2,35,7,1,0,1,5,16.0,9,-74.65678116429613,39.52985244510961
24,3.6375861597263857,2,1,1,3.7376696182833684,0,1,2,33,20,0,0,1,11,19.0,9,-74.59438891525333,39.39163117560647
20,3.258096538021482,5,1,1,3.4339872044851463,1,1,2,35,7,1,0,1,1,20.0,9,-74.73490217120481,39.5405573989592
20,3.258096538021482,5,1,1,3.4339872044851463,1,1,2,35,36,1,0,1,1,20.0,9,-74.66471836948068,39.48756324446107
23,3.6888794541139363,2,1,1,3.6375861597263857,0,1,2,35,7,1,0,1,5,9.0,9,-74.669021913655,39.59731591350907
3,3.912023005428146,2,0,1,3.9889840465642745,1,1,2,35,18,0,0,1,1,9.0,9,-74.72695222993406,39.59812031793748
0,3.828641396489095,2,0,1,4.02535169073515,1,1,5,23,1,1,1,0,12,10.0,9,-74.70144340727951,39.567469012617444
