victim_age,offender_age,incident_hour,latitude,longitude,month_num,relationship_name,victim_sex,offender_sex,victim_ethnicity,offender_ethnicity,victim_race,offender_race,location_name,offense_name,offense_category_name,crime_against,ct_flag,hc_flag
10,56,21,-74.06,39.74,4,Relationship Unknown,M,F,Not Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Highway/Road/Alley/Street/Sidewalk,Murder and Nonnegligent Manslaughter,Counterfeiting/Forgery,Property,True,True
32,33,4,-74.92,39.58,8,Victim Was Friend,F,F,Not Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Residence/Home,Identity Theft,Assault Offenses,Property,False,False
65,24,3,-74.73,39.78,6,Victim Was Sibling,F,F,Hispanic or Latino,Hispanic or Latino,Black or African American,Black or African American,Residence/Home,Simple Assault,Bribery,Property,False,True
93,100,12,-75.06,39.58,10,Victim Was Friend,F,F,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Intimidation,Sex Offenses,Property,True,True
17,56,2,-75.39,39.79,12,Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend),F,F,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Department/Discount Store,Impersonation,Counterfeiting/Forgery,Property,True,True
1,93,9,-75.39,39.0,6,Victim Was Friend,F,F,Not Hispanic or Latino,Hispanic or Latino,Black or African American,Native Hawaiian or Other Pacific Islander,Residence/Home,Impersonation,Homicide Offenses,Person,True,False
47,52,1,-74.49,40.8,1,Victim was Otherwise Known,F,F,Not Hispanic or Latino,Not Hispanic or Latino,Asian,Black or African American,Highway/Road/Alley/Street/Sidewalk,Theft From Motor Vehicle,Stolen Property Offenses,Person,True,True
50,35,10,-75.38,39.72,4,Victim was Otherwise Known,F,F,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,White,Residence/Home,Theft From Building,Sex Offenses,Property,True,False
3,89,9,-75.33,38.99,5,Victim Was Boyfriend/Girlfriend,M,F,Not Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Parking/Drop Lot/Garage,Aggravated Assault,Extortion/Blackmail,Person,True,True
90,76,23,-75.54,39.59,7,Victim Was Neighbor,F,F,Hispanic or Latino,Hispanic or Latino,White,Black or African American,Highway/Road/Alley/Street/Sidewalk,False Pretenses/Swindle/Confidence Game,Robbery,Property,True,True
20,43,4,-74.08,40.67,6,Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend),F,M,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Residence/Home,Motor Vehicle Theft,Larceny/Theft Offenses,Property,False,True
14,55,6,-74.74,40.29,2,Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend),M,M,Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Residence/Home,Rape,Counterfeiting/Forgery,Property,False,True
2,42,9,-74.57,39.75,1,Victim was Otherwise Known,F,F,Not Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Residence/Home,Destruction/Damage/Vandalism of Property,Embezzlement,Person,True,True
69,68,13,-75.35,41.13,12,Relationship Unknown,M,F,Hispanic or Latino,Not Hispanic or Latino,White,White,Highway/Road/Alley/Street/Sidewalk,Extortion/Blackmail,Counterfeiting/Forgery,Property,True,True
19,32,14,-74.09,39.64,6,Victim Was Sibling,M,M,Not Hispanic or Latino,Hispanic or Latino,Black or African American,White,Residence/Home,False Pretenses/Swindle/Confidence Game,Sex Offenses,Property,True,True
30,60,14,-74.56,40.12,10,Victim was Otherwise Known,F,F,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Parking/Drop Lot/Garage,Statutory Rape,Destruction/Damage/Vandalism of Property,Person,True,True
1,81,1,-75.25,39.01,3,Victim Was Neighbor,M,M,Hispanic or Latino,Not Hispanic or Latino,White,White,Highway/Road/Alley/Street/Sidewalk,Fondling,Arson,Property,True,True
16,54,23,-74.94,39.32,2,Victim Was Boyfriend/Girlfriend,F,F,Hispanic or Latino,Hispanic or Latino,White,White,Residence/Home,Fondling,Extortion/Blackmail,Person,True,False
90,16,21,-74.93,39.85,4,Victim Was Neighbor,F,F,Not Hispanic or Latino,Not Hispanic or Latino,White,Asian,Highway/Road/Alley/Street/Sidewalk,Destruction/Damage/Vandalism of Property,Bribery,Property,True,True
64,74,9,-75.0,40.38,5,Victim Was Boyfriend/Girlfriend,F,F,Hispanic or Latino,Hispanic or Latino,White,White,Residence/Home,Wire Fraud,Robbery,Property,True,True
87,79,23,-74.82,40.87,11,Victim Was Spouse,M,M,Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Highway/Road/Alley/Street/Sidewalk,False Pretenses/Swindle/Confidence Game,Extortion/Blackmail,Property,True,True
62,8,3,-75.5,39.19,6,Victim Was Sibling,M,F,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,White,Residence/Home,Aggravated Assault,Stolen Property Offenses,Person,True,True
50,9,15,-75.07,40.17,12,Victim Was Spouse,F,F,Not Hispanic or Latino,Hispanic or Latino,White,White,Highway/Road/Alley/Street/Sidewalk,Burglary/Breaking & Entering,Motor Vehicle Theft,Person,True,False
28,72,9,-75.34,40.08,12,Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend),F,F,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,White,Highway/Road/Alley/Street/Sidewalk,Theft From Building,Fraud Offenses,Property,True,True
93,77,7,-73.92,41.18,12,Victim Was Sibling,M,M,Hispanic or Latino,Not Hispanic or Latino,White,Black or African American,Residence/Home,Kidnapping/Abduction,Motor Vehicle Theft,Person,False,True
85,4,10,-75.53,39.69,10,Victim Was Sibling,M,F,Not Hispanic or Latino,Hispanic or Latino,American Indian or Alaska Native,White,Highway/Road/Alley/Street/Sidewalk,Shoplifting,Extortion/Blackmail,Property,True,True
10,43,7,-74.48,40.16,6,Victim Was Boyfriend/Girlfriend,F,M,Hispanic or Latino,Not Hispanic or Latino,Black or African American,Asian,Drug Store/Doctor's Office/Hospital,Theft From Building,Counterfeiting/Forgery,Person,True,False
28,11,21,-74.32,40.22,9,Victim was Ex-Spouse,F,M,Not Hispanic or Latino,Hispanic or Latino,Black or African American,White,Residence/Home,Fondling,Arson,Property,True,True
19,73,20,-75.24,39.71,8,Victim Was Spouse,F,F,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,White,Residence/Home,Murder and Nonnegligent Manslaughter,Counterfeiting/Forgery,Person,True,True
