victim_age,offender_age,incident_hour,latitude,longitude,month_num,relationship_name,victim_sex,offender_sex,victim_ethnicity,offender_ethnicity,victim_race,offender_race,location_name,offense_name,offense_category_name,crime_against,ct_flag,hc_flag
2.3978952727983707,4.04305126783455,21,-74.06,39.74,4,0,1,0,1,1,5,2,24,22,4,1,True,True
3.4965075614664802,3.5263605246161616,4,-74.92,39.58,8,8,0,0,1,1,5,2,35,15,1,1,False,False
4.189654742026425,3.2188758248682006,3,-74.73,39.78,6,15,0,0,0,0,2,2,35,30,2,1,False,True
4.543294782270004,4.61512051684126,12,-75.06,39.58,10,8,0,0,1,1,5,5,35,18,15,1,True,True
2.8903717578961645,4.04305126783455,2,-75.39,39.79,12,7,0,0,1,1,5,5,16,16,4,1,True,True
0.6931471805599453,4.543294782270004,9,-75.39,39.0,6,8,0,0,1,0,2,3,35,16,9,0,True,False
3.871201010907891,3.970291913552122,1,-74.49,40.8,1,24,0,0,1,1,1,2,24,36,17,0,True,True
3.9318256327243257,3.58351893845611,10,-75.38,39.72,4,24,0,0,1,1,2,5,35,34,15,1,True,False
1.3862943611198906,4.499809670330265,9,-75.33,38.99,5,3,1,0,1,1,5,2,33,0,7,0,True,True
4.51085950651685,4.343805421853684,23,-75.54,39.59,7,12,0,0,0,0,5,2,24,10,14,1,True,True
3.044522437723423,3.784189633918261,4,-74.08,40.67,6,7,0,1,1,1,5,5,35,21,12,1,False,True
2.70805020110221,4.02535169073515,6,-74.74,40.29,2,7,1,1,0,1,5,2,35,26,4,1,False,True
1.0986122886681098,3.7612001156935624,9,-74.57,39.75,1,24,0,0,1,1,5,2,35,7,6,0,True,True
4.248495242049359,4.23410650459726,13,-75.35,41.13,12,0,1,0,0,1,5,5,24,9,4,1,True,True
2.995732273553991,3.4965075614664802,14,-74.09,39.64,6,15,1,1,1,0,2,5,35,10,15,1,True,True
3.4339872044851463,4.110873864173311,14,-74.56,40.12,10,24,0,0,1,1,5,5,33,32,5,0,True,True
0.6931471805599453,4.406719247264253,1,-75.25,39.01,3,12,1,1,0,1,5,5,24,11,0,1,True,True
2.833213344056216,4.007333185232471,23,-74.94,39.32,2,3,0,0,0,0,5,5,35,11,7,0,True,False
4.51085950651685,2.833213344056216,21,-74.93,39.85,4,12,0,0,1,1,5,1,24,7,2,1,True,True
4.174387269895637,4.31748811353631,9,-75.0,40.38,5,3,0,0,0,0,5,5,35,39,14,1,True,True
4.477336814478207,4.382026634673881,23,-74.82,40.87,11,16,1,1,0,1,5,2,24,10,7,1,True,True
4.143134726391533,2.1972245773362196,3,-75.5,39.19,6,15,1,0,1,1,2,5,35,0,17,0,True,True
3.9318256327243257,2.302585092994046,15,-75.07,40.17,12,16,0,0,1,0,5,5,24,4,13,0,True,False
